State,2016 Total Advance elections,2020 Total Advance elections,Change,Region ,Democrats Returned Ballots ,Republican  Returned Ballots ,Minor  Returned Ballots ,No Party Affilation  Returned Ballots ,Total Ballots,Democrats Frequ.Ditributions Rate,Republican Frequ.Ditributions Rate,Minor Frequ.Ditributions Rate,No Party Affilation Frequ.Ditributions Rate,Total Percentage of Frequ.Ditributions Rate,Democrats Requested Ballots ,Republicans Requested Ballots ,Minor Requested Ballots ,No Part Affilation Requested Ballots ,Total Requested Ballots,Democrats Return Rate ,Republicans  Return Rate ,Minor Return Rate ,No Party Affilation Return Rate,Total Return Rate 
AL,2399,221635,9139%,California,5540348,2455280,N/A,2583740,10579368,44.9,25.7,0.7,28.8,100,2384920,1373492,75087,2220497,6053996,59.3,58.9,28.8,40.8,52
AK,51803,139096,169%,Colorado,852266,706157,32936,930216,2521575,33.8,28,1.3,36.9,100,1215517,1110614,75852,1709243,4111226,70.1,63.6,43.4,54.4,61.3
AZ,1661874,2302756,39%,Connecticut,287565,91772,8486,203470,591293,48.6,15.5,1.4,34.4,100,335438,110631,10476,249829,706374,85.7,83,81,81.4,83
AR,590667,804335,36%,Florida,3410789,3315884,119812,1854160,8700645,39.2,38.1,1.4,21.3,100,210213,246246,15113,24134,495706,42.4,24.3,23.4,56.2,36.575
CA,5294036,10579368,100%,Georgia,132403,113134,5204,2312,253053,40.78,35,0.22,24,100,134434,245246,13571,135135,528386,81.2,54.2,46.26,,
CO,2215258,2521575,14%,Lowa,428833,305176,4147,186377,924533,46.4,33,0.4,20.2,100,461225,327519,4696,206548,999988,93,93.2,88.3,90.2,92.5
CT,45893,591293,1188%,Kansas,261412,327492,4512,118243,711664,36.7,46,0.6,16.6,100,423342,245763,13155,5135,687395,42.5,64.62,64.6,40.2,52.98
DE,22387,148424,563%,Kentucky,535307,417258,N/A,58723,1284523,41.7,32.5,4.6,N/A,100,432862,235643,23259,23139,714903,74.2,78.3,67.32,25.2,61.255
DC,101077,219311,117%,Louisiana,431559,365140,,180709,977408,44.2,37.4,N/A,18.5,100,133658,246246,2864,13153,395921,64,54.2,46.2,53.2,54.4
FL,6511712,8700645,34%,Maryland,1199203,436116,7051,302365,1944735,61.7,22.4,0.4,15.5,100,133963,24653,24867,4536,188019,55.2,52,67.4,25.9,50.125
GA,2381782,3903356,64%,Maine,228433,112635,15534,118449,475051,48.1,23.7,3.3,24.9,100,247418,123445,17851,134993,523707,92.3,91.2,87,87.7,90.7
HI,201632,484000,140%,North Carolina,1694852,1438129,24406,1374232,4531619,35.3,40.1,3.5,21.1,100,335657,784255,25642,5351,1150905,42.5,57.9,65.4,64.8,57.65
ID,193421,156439,-19%,Nebraska,172201,202151,3420,77113,454885,37.9,44.4,0.8,17,100,194996,242744,4648,95693,538081,88.3,83.3,73.6,80.6,84.5
IL,1611773,3038616,89%,New Jersey,1413603,808690,21656,906490,3150439,44.9,25.7,0.7,28.8,100,2384920,1373492,75087,2220497,6053996,59.3,58.9,28.8,40.8,52
IN,637706,915902,44%,New Mexico,366026,261249,7650,111525,749264,48.9,34.9,1,14.9,100,234235,253247,245697,5235,738414,85.3,78.35,75.2,65.3,76.0375
IA,630540,924533,47%,Nevada,405994,373130,N/A,256467,1026318,39.6,36.4,25,0,100,235197,235764,13531,6134,490626,64.3,64.73,64.2,67.9,65.2825
KS,468032,711664,52%,Oklahoma,177999,198322,1913,50839,429073,41.5,46.2,0.4,11.8,100,351896,234581,346535,2525,935537,67.7,64.2,54.2,38.5,56.15
KY,111585,1284523,1051%,Oregon,785234,506416,31649,482873,1806172,43.5,28,1.8,26.7,100,1055519,762310,62012,1069998,2949839,74.4,66.4,51,45.1,61.2
LA,531124,977408,84%,Pennsylvania,1591048,552627,17120,243559,2404354,66.2,23,0.7,10.1,100,1946877,787742,25532,337590,3097741,81.7,70.2,67.1,72.1,77.6
ME,245112,475051,94%,South Carolina,839037,370956,15204,13696,1250452,67.1,29.7,1.2,2,100,872643,383559,16078,14611,1299489,75,96.1,96.7,94.6,96.2
MD,975119,1944735,99%,South Dakota,64514,96781,910,40259,202464,31.9,47.8,0.4,19.9,100,91437,103535,2235,5523,202730,79.5,42.42,40.2,79.3,60.355
MA,1000000,2282879,128%,,,,,,,,,,,,,,,,,,,,,
MI,1116233,2571492,130%,,,,,,,,,,,,,,,,,,,,,
MN,568196,1581193,178%,,,,,,,,,,,,,,,,,,,,,
MS,13834,142591,931%,,,,,,,,,,,,,,,,,,,,,
MO,55503,723058,1203%,,,,,,,,,,,,,,,,,,,,,
MT,297991,510645,71%,,,,,,,,,,,,,,,,,,,,,
NE,191505,454885,138%,,,,,,,,,,,,,,,,,,,,,
NV,770133,1026318,33%,,,,,,,,,,,,,,,,,,,,,
NH,25809,181577,604%,,,,,,,,,,,,,,,,,,,,,
NJ,251981,3150439,1150%,,,,,,,,,,,,,,,,,,,,,
NM,522041,749264,44%,,,,,,,,,,,,,,,,,,,,,
NY,235142,3073378,1207%,,,,,,,,,,,,,,,,,,,,,
NC,3102834,4531619,46%,,,,,,,,,,,,,,,,,,,,,
ND,131789,244247,85%,,,,,,,,,,,,,,,,,,,,,
OH,1784384,2854258,60%,,,,,,,,,,,,,,,,,,,,,
OK,247470,429073,73%,,,,,,,,,,,,,,,,,,,,,
OR,1291268,1806172,40%,,,,,,,,,,,,,,,,,,,,,
PA,58765,2404354,3991%,,,,,,,,,,,,,,,,,,,,,
RI,20293,284932,1304%,,,,,,,,,,,,,,,,,,,,,
SC,490144,1250452,155%,,,,,,,,,,,,,,,,,,,,,
SD,100367,202464,102%,,,,,,,,,,,,,,,,,,,,,
TN,1675679,2280747,36%,,,,,,,,,,,,,,,,,,,,,
TX,4497431,9718648,116%,,,,,,,,,,,,,,,,,,,,,
UT,480356,951178,98%,,,,,,,,,,,,,,,,,,,,,
VT,44968,244745,444%,,,,,,,,,,,,,,,,,,,,,
VA,541543,1795465,232%,,,,,,,,,,,,,,,,,,,,,
WA,2241168,3292135,47%,,,,,,,,,,,,,,,,,,,,,
WV,233161,136002,-42%,,,,,,,,,,,,,,,,,,,,,
WI,797740,1873403,135%,,,,,,,,,,,,,,,,,,,,,
WY,74751,101248,35%,,,,,,,,,,,,,,,,,,,,,